machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,gcc,0,1,hyper,1,q1 hyper,4152.296,26070.91,0.0,0.0,348430.0,68733463014.0,276238193984.0,,51104860.0,133845047428.0,1107625763.0,2112371860.0,2108912491.0,40250312517.0,236292.0,134480201932.0,36950100.0,2935084757.0,2164.0,,
parmesan,gcc,0,1,vectorwise,1,q1 vectorwise,8786.215,53892.35,0.0,0.0,348277.0,146618756526.0,447924532806.0,,91779172.0,201005069453.0,1380555154.0,2125702098.0,2121430128.0,74503358723.0,419230.0,201307809961.0,45812747.0,5385782776.0,1808.0,,
parmesan,clang,0,1,hyper,1,q1 hyper,4143.994,26135.3,0.0,0.0,348403.0,68502618782.0,275861375482.0,,51077956.0,133726306355.0,1113561115.0,2108548567.0,2103337216.0,40153037115.0,209442.0,134404487681.0,37329062.0,2940964751.0,2407.0,,
parmesan,clang,0,1,vectorwise,1,q1 vectorwise,8790.03,53953.61,0.0,0.0,348277.0,146597364651.0,447186864096.0,,91954299.0,200746684249.0,1407628440.0,2125896099.0,2123032578.0,74581045301.0,423001.0,201453502820.0,46220077.0,5388323308.0,2723.0,,
parmesan,gcc,0,1,vectorwise,2,q1 vectorwise,4419.513,54552.3,0.0,0.0,362499.0,147531542405.0,446525097463.0,,89078394.0,200632941141.0,1407150301.0,2183030184.0,2179983118.0,74286956189.0,471923.0,200171125862.0,56223617.0,5333755470.0,2047.0,,
parmesan,gcc,0,1,hyper,2,q1 hyper,2073.153,26055.77,0.0,0.0,348310.0,68910159823.0,277223354358.0,,51192519.0,133807334382.0,1111646887.0,2104077829.0,2098900309.0,39735408412.0,130072.0,132932813788.0,37759587.0,2938220563.0,1366.0,,
parmesan,clang,0,1,vectorwise,2,q1 vectorwise,4406.316,54233.43,0.0,0.0,359476.0,146625016634.0,446890324843.0,,90138903.0,200660838993.0,1380725171.0,2189250598.0,2186298627.0,74397210167.0,452340.0,201159626015.0,57502334.0,5336932357.0,3280.0,,
parmesan,clang,0,1,hyper,2,q1 hyper,2077.733,26102.5,0.0,0.0,348310.0,68824040102.0,276594914059.0,,51221451.0,134061195791.0,1111748350.0,2109972946.0,2104737323.0,39843381620.0,136624.0,133236771062.0,37508107.0,2931125729.0,1793.0,,
parmesan,gcc,0,1,hyper,3,q1 hyper,1379.513,26015.21,0.0,0.0,348368.0,68486592861.0,276099294240.0,,50672917.0,132765445501.0,1102915988.0,2098848630.0,2096925459.0,40171976772.0,146315.0,134565721100.0,37353917.0,2932942926.0,5909.0,,
parmesan,gcc,0,1,vectorwise,3,q1 vectorwise,2950.878,54466.2,0.0,0.0,357810.0,147222414916.0,446978645320.0,,90545850.0,200337781993.0,1367457826.0,2191425582.0,2189915946.0,74179254868.0,512629.0,200686146072.0,46989169.0,5406629531.0,2670.0,,
parmesan,clang,0,1,hyper,3,q1 hyper,1390.798,26213.46,0.0,0.0,348371.0,69359353486.0,276912160081.0,,51168211.0,133564378463.0,1108603891.0,2101590120.0,2098032033.0,39823734253.0,160136.0,134445264496.0,37446070.0,2951539922.0,3875.0,,
parmesan,clang,0,1,vectorwise,3,q1 vectorwise,2941.729,54311.63,0.0,0.0,357771.0,147038142332.0,447679584949.0,,90250846.0,200730593971.0,1352346171.0,2194125799.0,2189463768.0,74076975266.0,501238.0,199618891837.0,47434207.0,5365235965.0,2598.0,,
parmesan,gcc,0,1,hyper,4,q1 hyper,1035.297,26030.12,0.0,0.0,348428.0,67827491545.0,273649251054.0,,50622337.0,132821521755.0,1099759870.0,2098599419.0,2107337099.0,40179733584.0,122866.0,134354749643.0,37711282.0,2930399320.0,4877.0,,
parmesan,gcc,0,1,vectorwise,4,q1 vectorwise,2216.78,54567.66,0.0,0.0,362593.0,147641496279.0,447125650182.0,,90443045.0,200435866641.0,1383191565.0,2185230420.0,2170628070.0,73827242389.0,518453.0,199980546726.0,45850932.0,5440639424.0,5822.0,,
parmesan,clang,0,1,hyper,4,q1 hyper,1043.513,26279.53,0.0,0.0,348423.0,69269053998.0,276130200272.0,,50958483.0,133279815958.0,1103778349.0,2102537360.0,2075927528.0,39438427890.0,142882.0,134775114077.0,37526900.0,2944031504.0,6782.0,,
parmesan,clang,0,1,vectorwise,4,q1 vectorwise,2214.027,54506.8,0.0,0.0,358323.0,147480942063.0,447079764865.0,,90211607.0,200461716390.0,1385766852.0,2184893435.0,2171722915.0,73734935951.0,504155.0,200111119602.0,45814862.0,5420783677.0,7945.0,,
parmesan,gcc,0,1,vectorwise,5,q1 vectorwise,1771.021,54457.54,0.0,0.0,350043.0,146765439523.0,445899503221.0,,90251924.0,200501843962.0,1380685262.0,2191580582.0,2188872478.0,74211768511.0,477285.0,200526932460.0,44974883.0,5383808882.0,5372.0,,
parmesan,gcc,0,1,hyper,5,q1 hyper,831.425,26131.56,0.0,0.0,348484.0,68406953986.0,275029056646.0,,50867374.0,133555365369.0,1110666385.0,2110855414.0,2104700773.0,39863310826.0,127409.0,134386278603.0,37454005.0,2933744552.0,6464.0,,
parmesan,clang,0,1,vectorwise,5,q1 vectorwise,1768.037,54369.34,0.0,0.0,350195.0,146822698622.0,446737940351.0,,91137918.0,200789083781.0,1373399113.0,2189992788.0,2186397174.0,74230813275.0,479712.0,200397534793.0,44199235.0,5352211849.0,4076.0,,
parmesan,clang,0,1,hyper,5,q1 hyper,828.307,26027.62,0.0,0.0,348490.0,68467625383.0,276503765425.0,,51123653.0,134075597608.0,1104185571.0,2107211616.0,2100770457.0,40074398314.0,169836.0,134424797343.0,37492904.0,2915627020.0,6976.0,,
parmesan,gcc,0,1,hyper,6,q1 hyper,691.797,26115.63,0.0,0.0,348555.0,67735658899.0,272810470842.0,,50464457.0,132486251477.0,1102574852.0,2111261512.0,2105138488.0,40119410882.0,158029.0,134254994493.0,37589736.0,2915879057.0,6468.0,,
parmesan,gcc,0,1,vectorwise,6,q1 vectorwise,1474.466,54391.39,0.0,0.0,352563.0,147235541162.0,447769031687.0,,90945950.0,200788268470.0,1370535027.0,2190951116.0,2186674016.0,74422023799.0,445688.0,200382097326.0,44620100.0,5401618364.0,5296.0,,
parmesan,clang,0,1,hyper,6,q1 hyper,690.577,26034.96,0.0,0.0,348548.0,67803219361.0,273633305521.0,,50639001.0,132864867657.0,1105630716.0,2109660761.0,2104139847.0,40086575502.0,170596.0,134332975300.0,37644640.0,2870427676.0,6207.0,,
parmesan,clang,0,1,vectorwise,6,q1 vectorwise,1473.458,54396.24,0.0,0.0,352661.0,147052298252.0,447383987543.0,,90732955.0,200840658487.0,1377217970.0,2190852016.0,2186044706.0,74429077752.0,483750.0,201271976787.0,44570835.0,5367600433.0,9147.0,,
