machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,clang,0,1,vectorwise,1,q1 vectorwise,8800.667,53982.57,0.0,0.0,348275.0,146771544988.0,447285299466.0,,91132483.0,200582409667.0,1371000938.0,2123586313.0,2121109030.0,74631372824.0,415482.0,201694982242.0,45959627.0,5362537456.0,2097.0,,
parmesan,clang,0,1,hyper,1,q1 hyper,4150.221,26243.31,0.0,0.0,348362.0,68150405166.0,273444786790.0,,50746545.0,133020707689.0,1101811569.0,2112379282.0,2117219274.0,40284404763.0,172916.0,134261200625.0,36824811.0,2980714459.0,8911.0,,
parmesan,gcc,0,1,vectorwise,1,q1 vectorwise,8794.214,53949.25,0.0,0.0,348274.0,146593635809.0,447277540975.0,,91188690.0,200787241299.0,1382740573.0,2126959237.0,2123451058.0,74447413361.0,422160.0,201445179731.0,46354554.0,5333587347.0,2415.0,,
parmesan,gcc,0,1,hyper,1,q1 hyper,4145.068,26047.36,0.0,0.0,348340.0,68721157448.0,276674632500.0,,51222482.0,134046026588.0,1115124184.0,2108555062.0,2102923114.0,40097086988.0,150846.0,134112686743.0,36943928.0,2924511747.0,2227.0,,
parmesan,clang,0,1,hyper,2,q1 hyper,2075.676,26086.47,0.0,0.0,348309.0,68779288531.0,276652256550.0,,51178585.0,134044827391.0,1118284688.0,2110067973.0,2104711579.0,39854378529.0,121244.0,133229117863.0,37577775.0,2929495186.0,1717.0,,
parmesan,clang,0,1,vectorwise,2,q1 vectorwise,4419.789,54423.74,0.0,0.0,359653.0,147193480944.0,446698352792.0,,90673874.0,200071815185.0,1407385271.0,2181700056.0,2180991762.0,74142896702.0,476723.0,201426919620.0,56577211.0,5368745456.0,4803.0,,
parmesan,gcc,0,1,hyper,2,q1 hyper,2070.307,26027.36,0.0,0.0,348311.0,68856722017.0,276925722184.0,,51108819.0,133635195301.0,1107015989.0,2102607467.0,2099267041.0,39799200511.0,129877.0,133164118276.0,37607372.0,2940681251.0,1067.0,,
parmesan,gcc,0,1,vectorwise,2,q1 vectorwise,4421.73,54423.61,0.0,0.0,359484.0,147177974165.0,446797714974.0,,91179991.0,200450617174.0,1396108332.0,2181812655.0,2181320299.0,74121053180.0,462095.0,201487002649.0,58246384.0,5318804617.0,4489.0,,
parmesan,clang,0,1,vectorwise,3,q1 vectorwise,2944.777,54348.8,0.0,0.0,357480.0,147017571969.0,447490722384.0,,90628666.0,200820089629.0,1363277142.0,2192560812.0,2188466807.0,74051277141.0,513198.0,200417698904.0,46405573.0,5383056582.0,1112.0,,
parmesan,clang,0,1,hyper,3,q1 hyper,1389.914,26199.79,0.0,0.0,348371.0,69345830236.0,276990867621.0,,51137084.0,133633683919.0,1124814175.0,2102191699.0,2098192277.0,39867226147.0,131729.0,134344566922.0,37330522.0,2945286964.0,3678.0,,
