machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,gcc,0,3,hyper,31,q3 hyper,323.449,55354.22,0.0,0.0,787185.0,129589040319.0,84799927410.0,,1405986675.0,62693459277.0,1437073241.0,2260202494.0,2023413690.0,51897069037.0,716977.0,69892033389.0,1230401645.0,65284222998.0,158199.0,,
parmesan,clang,0,3,vectorwise,32,q3 vectorwise,58.438,20182.75,0.0,0.0,352075.0,34996787260.0,94206645224.0,,63504454.0,28491785956.0,200239276.0,1251653112.0,1207308229.0,20368573896.0,1305462.0,27170793794.0,84216255.0,3152230911.0,112424.0,,
parmesan,clang,0,3,hyper,32,q3 hyper,316.011,55759.59,0.0,0.0,773355.0,129240882399.0,87424504090.0,,1394279244.0,58806100067.0,1407065127.0,2178364577.0,2005359632.0,50286809344.0,897810.0,70108761421.0,1261185208.0,70454403394.0,142552.0,,
parmesan,gcc,0,3,hyper,32,q3 hyper,316.502,55827.26,0.0,0.0,773390.0,131394134965.0,94346675288.0,,1401730411.0,61331717312.0,1396327690.0,2107640847.0,1990140308.0,50962301490.0,717715.0,70602702229.0,1250577656.0,71538985387.0,146569.0,,
parmesan,gcc,0,3,vectorwise,32,q3 vectorwise,63.52,22157.18,0.0,0.0,352302.0,47277088563.0,144008839784.0,,62766886.0,34216698720.0,198493503.0,1214731838.0,1149098425.0,26230272583.0,1207199.0,32618648369.0,82760720.0,2975337189.0,94304.0,,
parmesan,clang,0,3,vectorwise,33,q3 vectorwise,57.456,20320.54,0.0,0.0,347379.0,35853377236.0,95289245676.0,,63798210.0,27695326378.0,206264526.0,1265710648.0,1235121060.0,20535429586.0,1530893.0,25925779260.0,70491576.0,2699122501.0,123790.0,,
parmesan,clang,0,3,hyper,33,q3 hyper,308.526,56053.41,0.0,0.0,776949.0,134133717335.0,103410540037.0,,1486518085.0,66582955166.0,1546203422.0,2306015486.0,1982320818.0,47757390115.0,1246163.0,62203273058.0,1185449389.0,62052083181.0,62292.0,,
parmesan,gcc,0,3,hyper,33,q3 hyper,308.156,55604.37,0.0,0.0,777019.0,131509473405.0,86034841410.0,,1505409069.0,61662963417.0,1454656817.0,2244886141.0,1986357488.0,46774368116.0,1258261.0,63604900301.0,1242684701.0,65255408885.0,88527.0,,
parmesan,gcc,0,3,vectorwise,33,q3 vectorwise,57.43,19749.68,0.0,0.0,339216.0,36693669640.0,107041513714.0,,50363542.0,28899745801.0,162385195.0,1047105844.0,1011647177.0,22023570430.0,1346823.0,25262865598.0,73057122.0,2508214132.0,88250.0,,
parmesan,clang,0,3,vectorwise,34,q3 vectorwise,55.993,20702.13,0.0,0.0,353387.0,36378930011.0,99891026921.0,,57828261.0,27874188020.0,197394981.0,1235833882.0,1216249108.0,21468250425.0,1511450.0,28004753392.0,73644197.0,2647018196.0,108472.0,,
