machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,clang,0,5,hyper,69,q5 hyper,136.465,51449.95,0.0,0.0,487403.0,115583476188.0,88124601060.0,,452904870.0,47488161638.0,1567810327.0,2192712682.0,1724982295.0,24133697544.0,1523963.0,41116919816.0,1201119060.0,19899413347.0,161486.0,,
parmesan,clang,0,5,vectorwise,69,q5 vectorwise,134.808,52141.73,0.0,0.0,518645.0,110742085772.0,121382732632.0,,305041987.0,53296526102.0,1620871795.0,2175708659.0,1754373003.0,33649360712.0,2667334.0,49643253361.0,1252635899.0,14766537276.0,144627.0,,
parmesan,gcc,0,5,vectorwise,70,q5 vectorwise,131.681,52345.22,0.0,0.0,518859.0,114140311072.0,124986212584.0,,302164610.0,48792644483.0,1623265779.0,2182308265.0,1731361543.0,34572545122.0,2705166.0,52361610835.0,1312449297.0,15312360146.0,135241.0,,
parmesan,gcc,0,5,hyper,70,q5 hyper,135.228,52392.62,0.0,0.0,487553.0,117458425034.0,107517201163.0,,445360091.0,51025331734.0,1537807084.0,2157985440.0,1700371323.0,26270974669.0,1610936.0,42153301238.0,1218185993.0,20574558089.0,173974.0,,
parmesan,clang,0,5,hyper,70,q5 hyper,135.286,51988.61,0.0,0.0,490533.0,124279108636.0,103492564104.0,,449857666.0,48575158726.0,1529383608.0,2169178786.0,1727158370.0,25276593694.0,1677237.0,44352719259.0,1296897177.0,19876892597.0,161666.0,,
parmesan,clang,0,5,vectorwise,70,q5 vectorwise,133.47,53117.12,0.0,0.0,518823.0,113787951779.0,155777433732.0,,288926540.0,50622191585.0,1595577650.0,2214826394.0,1792159030.0,37152712946.0,2449148.0,58135902945.0,1416678615.0,15463605755.0,139746.0,,
parmesan,gcc,0,5,vectorwise,71,q5 vectorwise,129.76,51567.3,0.0,0.0,518926.0,117123557078.0,123228442721.0,,310783764.0,50661018954.0,1567953995.0,2123855921.0,1762418167.0,33641622173.0,2380761.0,47887567526.0,1403449427.0,15753840146.0,149161.0,,
parmesan,gcc,0,5,hyper,71,q5 hyper,132.552,59531.09,0.0,0.0,526917.0,149657082789.0,109439855434.0,,558340435.0,56862910790.0,1769935017.0,2437551519.0,1929415399.0,27824090379.0,2074152.0,50958229017.0,1730609971.0,21714952801.0,167721.0,,
parmesan,clang,0,5,hyper,71,q5 hyper,133.532,53086.32,0.0,0.0,490691.0,122198858501.0,114336737841.0,,448656903.0,52866754654.0,1485741149.0,2116277672.0,1674458176.0,28706774884.0,2003160.0,47383633912.0,1311413638.0,21078674810.0,181820.0,,
parmesan,clang,0,5,vectorwise,71,q5 vectorwise,132.252,53115.63,0.0,0.0,519097.0,118633016554.0,170399723996.0,,287597470.0,54221536900.0,1590214742.0,2189921839.0,1780653798.0,33536912581.0,2745018.0,54984479511.0,1373750579.0,14930884642.0,127990.0,,
