machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,gcc,0,1,vectorwise,17,q1 vectorwise,525.622,55313.98,0.0,0.0,357471.0,147334163979.0,455229084535.0,,89214438.0,200549001604.0,1346259349.0,2156165057.0,2153837916.0,76371299510.0,666584.0,203373050641.0,44312968.0,5478540446.0,15203.0,,
parmesan,gcc,0,1,hyper,17,q1 hyper,245.658,26398.16,0.0,0.0,349303.0,69387395376.0,281181697891.0,,50140259.0,125757221229.0,1028520645.0,2053423487.0,2077390885.0,40604050466.0,326103.0,135998198973.0,38466149.0,2953275057.0,18219.0,,
parmesan,clang,0,1,vectorwise,17,q1 vectorwise,522.521,56094.0,0.0,0.0,357504.0,151672951159.0,470538296853.0,,91095991.0,204863682657.0,1370153793.0,2168523412.0,2125806305.0,79479457012.0,500047.0,203600446284.0,43542673.0,5369620836.0,20689.0,,
parmesan,clang,0,1,hyper,17,q1 hyper,245.609,26243.86,0.0,0.0,349325.0,65407135708.0,263424151683.0,,47937346.0,129329553609.0,1091049629.0,2107999076.0,2106965237.0,40368082586.0,272702.0,134498629315.0,38098047.0,2917128393.0,13603.0,,
parmesan,clang,0,1,hyper,18,q1 hyper,231.322,26234.35,0.0,0.0,349371.0,67858339756.0,276512705864.0,,50874436.0,133553224217.0,1107154189.0,2089699490.0,2085055132.0,40274050211.0,261757.0,128021932291.0,36844233.0,2842041708.0,10441.0,,
parmesan,clang,0,1,vectorwise,18,q1 vectorwise,494.214,55162.29,0.0,0.0,353526.0,147820885799.0,454369530368.0,,89651394.0,200863362234.0,1367017323.0,2157792566.0,2154712858.0,75957252941.0,662684.0,202263101947.0,43892897.0,5384357005.0,19021.0,,
parmesan,gcc,0,1,vectorwise,18,q1 vectorwise,494.279,54738.34,0.0,0.0,354016.0,146898491814.0,446897338288.0,,90222772.0,200782657655.0,1387444197.0,2186211303.0,2182366222.0,74605681063.0,605640.0,198064344693.0,43070347.0,5326643388.0,18922.0,,
parmesan,gcc,0,1,hyper,18,q1 hyper,231.242,26140.2,0.0,0.0,349408.0,67610717181.0,273386416222.0,,51107580.0,133623800656.0,1096073685.0,2100500792.0,2095623581.0,40114000601.0,271627.0,127606342047.0,36817315.0,2833778230.0,18344.0,,
parmesan,gcc,0,1,vectorwise,19,q1 vectorwise,468.315,54947.82,0.0,0.0,357931.0,145367702505.0,455741098862.0,,89830490.0,201090028505.0,1370909191.0,2169531955.0,2165950087.0,74523102705.0,663337.0,194497564250.0,42846273.0,5262211124.0,13302.0,,
parmesan,gcc,0,1,hyper,19,q1 hyper,220.181,26268.11,0.0,0.0,349486.0,68938836159.0,276188835710.0,,50987133.0,131400128728.0,1092294853.0,2059857205.0,2072549134.0,39730071211.0,297170.0,134309996159.0,38524692.0,2922287907.0,12121.0,,
