machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,clang,0,3,hyper,6,q3 hyper,1413.845,50969.2,0.0,0.0,779470.0,134437355747.0,86861668027.0,,1593050665.0,64051148812.0,1444136383.0,2219900743.0,1929783529.0,46892321335.0,376462.0,65182828261.0,1214220757.0,69617149116.0,23194.0,,
parmesan,gcc,0,3,vectorwise,6,q3 vectorwise,1112.346,40308.3,0.0,0.0,802281.0,104855921018.0,147988990602.0,,281530978.0,62479091493.0,1794309820.0,2384448064.0,2088769828.0,33882900839.0,1549311.0,63396657649.0,1298087255.0,15814142624.0,28213.0,,
parmesan,gcc,0,3,hyper,6,q3 hyper,1375.926,49613.29,0.0,0.0,776382.0,130513239405.0,86075173668.0,,1608357683.0,65779801708.0,1440874075.0,2231624636.0,1923047969.0,46983026063.0,331820.0,63540620928.0,1244071784.0,67312993773.0,12758.0,,
parmesan,clang,0,3,hyper,7,q3 hyper,1210.856,50789.97,0.0,0.0,779617.0,135239347365.0,90552574645.0,,1636050771.0,65703280995.0,1424069704.0,2212823625.0,1930689833.0,45767385564.0,370046.0,65060781898.0,1250801154.0,69627585782.0,29646.0,,
parmesan,clang,0,3,vectorwise,7,q3 vectorwise,965.721,40630.91,0.0,0.0,808252.0,105893045990.0,142655294607.0,,273628126.0,60987425035.0,1750096262.0,2344665390.0,2067309285.0,32912141666.0,1791687.0,65371201444.0,1280231821.0,17227096600.0,45670.0,,
parmesan,gcc,0,3,hyper,7,q3 hyper,1190.171,49905.98,0.0,0.0,779500.0,131256874156.0,89844594282.0,,1593284611.0,63551106180.0,1447569792.0,2256899021.0,1968265386.0,46546411554.0,370153.0,64683878896.0,1223654819.0,68882155977.0,32630.0,,
parmesan,gcc,0,3,vectorwise,7,q3 vectorwise,963.776,40596.03,0.0,0.0,808229.0,107292260702.0,144080985231.0,,279906436.0,60711464788.0,1745604283.0,2346638007.0,2082987725.0,32342879081.0,1732608.0,65354042304.0,1283477973.0,17005901443.0,38727.0,,
parmesan,clang,0,3,hyper,9,q3 hyper,934.721,50037.78,0.0,0.0,772023.0,132356769550.0,88190286555.0,,1581582779.0,63835194812.0,1418028448.0,2208448751.0,1924258973.0,46211786815.0,380981.0,64643713416.0,1245556816.0,69883145105.0,23942.0,,
parmesan,clang,0,3,vectorwise,9,q3 vectorwise,757.731,40746.87,0.0,0.0,786860.0,103466444679.0,146258861720.0,,288528580.0,62074845124.0,1813608309.0,2397731008.0,2114161933.0,34507664146.0,1681639.0,65820160084.0,1284689512.0,16284334872.0,29176.0,,
parmesan,gcc,0,3,hyper,9,q3 hyper,936.762,50159.97,0.0,0.0,772023.0,131973253567.0,86959589978.0,,1605707850.0,64955398155.0,1431562415.0,2206178773.0,1915313734.0,46514480521.0,459414.0,65164800352.0,1241802780.0,70938296360.0,27818.0,,
parmesan,gcc,0,3,vectorwise,9,q3 vectorwise,760.289,40832.88,0.0,0.0,786895.0,103906910433.0,147940735713.0,,280736763.0,62512858783.0,1806333272.0,2390971579.0,2117227397.0,34170117316.0,1755966.0,65604833279.0,1293101422.0,16388856013.0,28973.0,,
parmesan,clang,0,3,hyper,10,q3 hyper,863.621,51022.95,0.0,0.0,776948.0,135964625754.0,89378631918.0,,1644275099.0,65018720622.0,1424970351.0,2208735066.0,1939360356.0,45446092362.0,433408.0,64380653754.0,1234681222.0,69558335050.0,35446.0,,
parmesan,clang,0,3,vectorwise,10,q3 vectorwise,688.937,41070.9,0.0,0.0,791634.0,107702232321.0,155931763336.0,,293129610.0,65044961612.0,1791792143.0,2378728104.0,2108399394.0,33225933362.0,1805169.0,63178392052.0,1287857421.0,16219850110.0,24736.0,,
parmesan,gcc,0,3,hyper,10,q3 hyper,869.527,51446.45,0.0,0.0,776829.0,136370112852.0,88930253363.0,,1638127778.0,65621017389.0,1436819443.0,2225230510.0,1938137231.0,45680170643.0,434985.0,64404757214.0,1242500735.0,69918329945.0,36732.0,,
parmesan,gcc,0,3,vectorwise,10,q3 vectorwise,693.644,41155.2,0.0,0.0,791748.0,106847741331.0,153634921505.0,,293503383.0,64676944949.0,1799757366.0,2390437521.0,2133030944.0,33652386791.0,1825047.0,63937754359.0,1280246810.0,16164170559.0,31939.0,,
parmesan,clang,0,3,vectorwise,12,q3 vectorwise,585.566,41417.73,0.0,0.0,797344.0,109455867001.0,152604437805.0,,315716869.0,65822667137.0,1843191730.0,2378708406.0,2059381645.0,31456841359.0,2105557.0,59538758888.0,1212383108.0,17780735325.0,22027.0,,
parmesan,clang,0,3,hyper,12,q3 hyper,734.613,51713.11,0.0,0.0,777013.0,133532839105.0,87192098217.0,,1568981545.0,63435615682.0,1437559143.0,2220351840.0,1970583815.0,47272341767.0,504479.0,65465332980.0,1193172027.0,69291164235.0,40046.0,,
parmesan,gcc,0,3,vectorwise,12,q3 vectorwise,584.515,41380.55,0.0,0.0,794056.0,109667058877.0,152676243768.0,,312077761.0,65851095964.0,1840136444.0,2366583777.0,2037822556.0,31421162656.0,2149435.0,59171555142.0,1216427134.0,17538340257.0,20136.0,,
parmesan,gcc,0,3,hyper,12,q3 hyper,730.466,51490.38,0.0,0.0,776896.0,134050214336.0,87267350945.0,,1572626717.0,63621378556.0,1437388605.0,2239500978.0,1952476223.0,46634531770.0,460085.0,64732132961.0,1196679910.0,69580465120.0,48898.0,,
