machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,clang,0,1,vectorwise,1,q1 vectorwise,8810.826,54060.24,0.0,0.0,348274.0,147012350554.0,447730814511.0,,90557441.0,200988471131.0,1378726966.0,2126339719.0,2122059253.0,74604447299.0,418650.0,201302887319.0,45789930.0,5345608014.0,2280.0,,
parmesan,clang,0,1,hyper,1,q1 hyper,4142.169,26007.46,0.0,0.0,348356.0,68646912599.0,276579026601.0,,51174135.0,134003639616.0,1115817247.0,2111597459.0,2107234205.0,40160931784.0,181355.0,134392265884.0,36960426.0,2917077027.0,1895.0,,
parmesan,gcc,0,1,vectorwise,1,q1 vectorwise,8812.515,54402.12,0.0,0.0,348275.0,148222341134.0,446965665730.0,,91910868.0,200297397938.0,1461412384.0,2118321644.0,2115180610.0,74308903228.0,460434.0,200449221023.0,46591259.0,5336376642.0,740.0,,
parmesan,gcc,0,1,hyper,1,q1 hyper,4178.039,26226.67,0.0,0.0,348354.0,69168582748.0,275998922657.0,,51130074.0,133728137571.0,1115443439.0,2111337746.0,2109836927.0,39963571657.0,202758.0,134658503485.0,37369770.0,2937685459.0,5416.0,,
parmesan,clang,0,1,hyper,2,q1 hyper,2077.257,26154.6,0.0,0.0,348307.0,68807334290.0,275926324263.0,,50958701.0,133521358513.0,1108218743.0,2111668841.0,2109177316.0,39982545050.0,141553.0,133555523111.0,37511758.0,2918307227.0,5823.0,,
parmesan,clang,0,1,vectorwise,2,q1 vectorwise,4434.399,54690.01,0.0,0.0,358259.0,147852052626.0,446634034579.0,,90423467.0,200357841675.0,1401345069.0,2182139500.0,2181741243.0,74215803789.0,478947.0,200603899731.0,58389135.0,5376041387.0,2991.0,,
parmesan,gcc,0,1,hyper,2,q1 hyper,2078.551,26125.96,0.0,0.0,348308.0,68753032767.0,276073196153.0,,51115923.0,133848200739.0,1112866694.0,2112515056.0,2107068138.0,39933894243.0,108629.0,133346594918.0,37737043.0,2933045451.0,1783.0,,
parmesan,gcc,0,1,vectorwise,2,q1 vectorwise,4417.46,54387.98,0.0,0.0,359203.0,147078467976.0,446932079204.0,,89114000.0,200216547285.0,1383624737.0,2183297189.0,2182506427.0,74136972846.0,477109.0,201394175960.0,55784369.0,5371874880.0,5022.0,,
parmesan,clang,0,1,vectorwise,3,q1 vectorwise,2945.334,54369.61,0.0,0.0,357693.0,146591209551.0,447017189464.0,,90431703.0,200804731948.0,1360401557.0,2192366845.0,2187901110.0,74028110585.0,513100.0,200306901920.0,47345732.0,5348138814.0,907.0,,
parmesan,clang,0,1,hyper,3,q1 hyper,1382.082,26062.07,0.0,0.0,348367.0,68656234556.0,275898375807.0,,51037639.0,132476926682.0,1098566510.0,2094743239.0,2094672355.0,40211299211.0,158861.0,134751965138.0,37450924.0,2936885730.0,5982.0,,
parmesan,gcc,0,1,vectorwise,3,q1 vectorwise,2945.64,54395.63,0.0,0.0,357648.0,146746632159.0,446823314271.0,,90447914.0,200762967982.0,1351189539.0,2194068720.0,2189602438.0,74090109025.0,506945.0,200295598978.0,46824640.0,5373115938.0,930.0,,
parmesan,gcc,0,1,hyper,3,q1 hyper,1386.016,26127.2,0.0,0.0,348373.0,68964355842.0,276236343950.0,,50951166.0,133372450214.0,1101204393.0,2102732784.0,2084893800.0,39665814905.0,109158.0,134855903504.0,37509743.0,2944636008.0,4314.0,,
parmesan,clang,0,1,vectorwise,4,q1 vectorwise,2212.0,54607.95,0.0,0.0,363158.0,147487436783.0,449120942210.0,,90828444.0,201022526200.0,1365725514.0,2177767944.0,2170851365.0,74903658757.0,498361.0,200776189111.0,45587014.0,5363200715.0,5419.0,,
parmesan,clang,0,1,hyper,4,q1 hyper,1035.606,26031.36,0.0,0.0,348426.0,67875217666.0,273779314815.0,,50734553.0,132863408710.0,1099854319.0,2111430800.0,2106374439.0,40155026378.0,157493.0,134337386611.0,37730859.0,2920525462.0,3758.0,,
parmesan,gcc,0,1,vectorwise,4,q1 vectorwise,2219.655,54794.8,0.0,0.0,354069.0,147866821580.0,447549462668.0,,90178723.0,200623665225.0,1406907045.0,2180352161.0,2177352381.0,74655622996.0,466155.0,200728512269.0,46089948.0,5400105594.0,5602.0,,
parmesan,gcc,0,1,hyper,4,q1 hyper,1037.761,26090.19,0.0,0.0,348426.0,67932875051.0,273413462221.0,,50666870.0,132689293341.0,1091997975.0,2111535077.0,2106657783.0,40175119599.0,140927.0,134360757593.0,37235619.0,2920399170.0,4324.0,,
parmesan,clang,0,1,hyper,5,q1 hyper,828.508,26093.64,0.0,0.0,348486.0,68432802371.0,275964295063.0,,51061836.0,133901064626.0,1102655306.0,2107758649.0,2100519846.0,39713758638.0,130206.0,134296133120.0,37507883.0,2910425498.0,6380.0,,
parmesan,clang,0,1,vectorwise,5,q1 vectorwise,1768.28,54369.34,0.0,0.0,350038.0,146793928968.0,446730909627.0,,89956815.0,200796893775.0,1368784399.0,2191528831.0,2187963102.0,74242821846.0,481452.0,200406551302.0,46360631.0,5330663775.0,4133.0,,
parmesan,gcc,0,1,hyper,5,q1 hyper,827.867,26017.31,0.0,0.0,348489.0,68606997486.0,277108634909.0,,51221132.0,133958809486.0,1093391439.0,2104766069.0,2098306016.0,40054596008.0,144399.0,133856028228.0,37327093.0,2923698531.0,6650.0,,
parmesan,gcc,0,1,vectorwise,5,q1 vectorwise,1769.13,54510.44,0.0,0.0,350032.0,147542773908.0,449148833965.0,,90312871.0,200632292489.0,1358037315.0,2184174633.0,2180916766.0,74866938056.0,477381.0,200868130638.0,45293900.0,5383060751.0,5323.0,,
parmesan,clang,0,1,vectorwise,6,q1 vectorwise,1473.851,54384.42,0.0,0.0,352580.0,147154797477.0,447924290027.0,,90667434.0,200836539246.0,1365487062.0,2190938828.0,2185736286.0,74438947601.0,463002.0,200507503209.0,44611550.0,5387402978.0,9206.0,,
parmesan,clang,0,1,hyper,6,q1 hyper,692.523,26121.07,0.0,0.0,348548.0,67865047265.0,273257599173.0,,50557362.0,132824198674.0,1106487734.0,2109300104.0,2103733851.0,40172692591.0,147347.0,134227010144.0,37584667.0,2866550978.0,6963.0,,
