machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,clang,0,1,hyper,1,q1 hyper,4151.337,26072.29,0.0,0.0,348357.0,68706489428.0,276187247942.0,,51098676.0,133803326378.0,1110449212.0,2112206532.0,2108892407.0,40232655925.0,191275.0,134524033796.0,37385016.0,2935652528.0,7618.0,,
parmesan,clang,0,1,vectorwise,1,q1 vectorwise,8800.417,54038.07,0.0,0.0,348275.0,147123002767.0,448036514743.0,,91320207.0,200893074403.0,1388495947.0,2123393994.0,2119196239.0,73976356380.0,464845.0,200516986508.0,45518521.0,5379222689.0,1785.0,,
parmesan,gcc,0,1,vectorwise,1,q1 vectorwise,8801.605,53966.19,0.0,0.0,348276.0,146639051818.0,447281183741.0,,90551085.0,200663700537.0,1375768896.0,2124866496.0,2122669110.0,74396713143.0,419451.0,201013427667.0,46947624.0,5280138935.0,2891.0,,
parmesan,gcc,0,1,hyper,1,q1 hyper,4155.771,26247.26,0.0,0.0,348382.0,68532781799.0,275348215116.0,,51008801.0,133644537607.0,1110297090.0,2109968237.0,2107958174.0,40176762780.0,195872.0,134245822760.0,37181743.0,2974986975.0,10155.0,,
parmesan,clang,0,1,vectorwise,2,q1 vectorwise,4421.645,54428.32,0.0,0.0,359930.0,147158362847.0,446722540949.0,,89871749.0,200087107667.0,1381982041.0,2184094729.0,2183327411.0,74411927864.0,465339.0,201475676202.0,56935578.0,5387336736.0,4631.0,,
parmesan,clang,0,1,hyper,2,q1 hyper,2070.371,26024.46,0.0,0.0,348310.0,68822330251.0,276843937705.0,,51143727.0,133586517194.0,1105618064.0,2101960488.0,2098467465.0,39795177181.0,125527.0,133235640434.0,37298924.0,2941950154.0,1266.0,,
parmesan,gcc,0,1,hyper,2,q1 hyper,2074.761,26073.37,0.0,0.0,348309.0,68809654618.0,276853969225.0,,51191254.0,134070250804.0,1118396946.0,2109167487.0,2103566838.0,39798202988.0,118368.0,133237131271.0,37566068.0,2930151646.0,1754.0,,
parmesan,gcc,0,1,vectorwise,2,q1 vectorwise,4419.595,54421.98,0.0,0.0,359571.0,147142119485.0,446682910947.0,,90338777.0,200147978135.0,1380787192.0,2185488627.0,2184516571.0,74068771488.0,473407.0,201479158898.0,59691431.0,5429007312.0,4560.0,,
parmesan,clang,0,1,hyper,3,q1 hyper,1380.736,26028.48,0.0,0.0,348369.0,68545647984.0,275951737127.0,,50613614.0,132614647802.0,1099040240.0,2096804242.0,2096041320.0,40242100767.0,122163.0,134670011875.0,37305493.0,2933839614.0,6038.0,,
parmesan,clang,0,1,vectorwise,3,q1 vectorwise,2944.76,54353.76,0.0,0.0,358037.0,146550502076.0,447121481955.0,,90998750.0,200830671844.0,1356560117.0,2193119934.0,2189007950.0,74028076809.0,555514.0,200351472453.0,46416339.0,5347693748.0,1000.0,,
