,machine,compiler,repetition,query,engine,threads,query_label,time,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
5090,burrata,gcc,0,9,hyper,119,q9 hyper,850.201,503031.06,297880.0,187.0,1384398.0,1439584666529.0,312606082048.0,,1452548807.0,109771366752.0,7941400955.0,,,115333406217.0,83876352.0,182060226624.0,5697038024.0,101543379562.0,629395.0,,
5091,burrata,gcc,0,9,vectorwise,119,q9 vectorwise,729.464,465110.64,248755.0,728.0,1434602.0,1320891538347.0,525445627503.0,,2235093242.0,136094904039.0,8816373592.0,,,198147301165.0,82273445.0,190827090760.0,6183751283.0,188802496127.0,455966.0,,
5092,burrata,clang,1,9,vectorwise,119,q9 vectorwise,732.632,454849.17,354532.0,740.0,1432226.0,1291731843653.0,428366105376.0,,1917084017.0,139711106323.0,8896541182.0,,,155913899563.0,92563500.0,207880393895.0,6196437886.0,126226120329.0,537718.0,,
5093,burrata,clang,1,9,hyper,119,q9 hyper,1443.308,954577.59,397254.0,146.0,1378398.0,2778687462355.0,1509050670838.0,,1422811629.0,411704533752.0,8125978761.0,,,415307221324.0,115743817.0,445732419144.0,5758153359.0,254052604875.0,601297.0,,
5094,burrata,gcc,1,9,vectorwise,119,q9 vectorwise,752.938,465730.75,316534.0,726.0,1431575.0,1324809250664.0,542177298826.0,,2276413895.0,140202206735.0,8858002229.0,,,204718836590.0,86498189.0,194876798631.0,6242528856.0,196734484826.0,468507.0,,
5095,burrata,gcc,1,9,hyper,119,q9 hyper,788.452,489840.71,201251.0,144.0,1388298.0,1400633840856.0,293330075089.0,,1497423991.0,108174650755.0,8034791536.0,,,108155070901.0,84460378.0,176275681194.0,5713861882.0,96165227220.0,582399.0,,
5096,burrata,clang,0,9,vectorwise,120,q9 vectorwise,772.661,484233.86,261778.0,742.0,1434265.0,1379840546676.0,649482484745.0,,1892255842.0,173217804438.0,8852749607.0,,,216382083723.0,95068772.0,240391755476.0,6163329000.0,177782588371.0,510705.0,,
5097,burrata,clang,0,9,hyper,120,q9 hyper,1427.48,961890.09,425348.0,115.0,1383279.0,2798675723127.0,1506830446099.0,,1418300205.0,412003311311.0,8106308257.0,,,415509894436.0,127611020.0,445694671026.0,5782877526.0,254302879217.0,517993.0,,
5098,burrata,gcc,0,9,vectorwise,120,q9 vectorwise,780.537,497283.99,301421.0,721.0,1434948.0,1419225272780.0,748569668246.0,,2288729514.0,173822986923.0,8874820209.0,,,271539348211.0,86134977.0,229925779804.0,6261240391.0,265809007336.0,457441.0,,
5099,burrata,gcc,0,9,hyper,120,q9 hyper,808.418,511504.55,236200.0,109.0,1380350.0,1460265468386.0,308055122141.0,,1492900436.0,110234630759.0,7989661335.0,,,112830178430.0,87923026.0,180447093127.0,5750583293.0,100284741825.0,577532.0,,
5104,burrata,clang,1,9,vectorwise,120,q9 vectorwise,722.427,470041.78,497546.0,741.0,1431884.0,1333808984451.0,517101345278.0,,1875282205.0,152596156694.0,8807040569.0,,,181889922179.0,97129666.0,221315113498.0,6147605922.0,147198660141.0,562282.0,,
5105,burrata,clang,1,9,hyper,120,q9 hyper,1446.853,955625.5,406711.0,134.0,1388134.0,2781131220561.0,1515742207406.0,,1406492810.0,412312357851.0,8115518459.0,,,414117354027.0,126469160.0,445204400456.0,5774370953.0,255807332918.0,611676.0,,
5106,burrata,gcc,1,9,vectorwise,120,q9 vectorwise,766.049,470385.87,234170.0,741.0,1431699.0,1341505058128.0,566350873755.0,,2275436205.0,144137609798.0,8849073941.0,,,214579688727.0,83406506.0,199431053323.0,6234874526.0,203288939313.0,484501.0,,
5107,burrata,gcc,1,9,hyper,120,q9 hyper,806.121,508300.32,510990.0,173.0,1376517.0,1453078835771.0,334917116992.0,,1470784782.0,115522369511.0,8009852912.0,,,123597778043.0,89873470.0,188634927111.0,5701067860.0,109067399262.0,553296.0,,
5108,burrata,clang,0,9,hyper,121,q9 hyper,1463.181,970131.05,498428.0,136.0,1370172.0,2815525318249.0,1522728076027.0,,1416580825.0,414236255061.0,8115815538.0,,,418936936517.0,130844467.0,450839296169.0,5785880852.0,259437192555.0,546591.0,,
5109,burrata,clang,0,9,vectorwise,121,q9 vectorwise,737.251,473870.0,305683.0,742.0,1431329.0,1349270209075.0,502459441132.0,,1903780434.0,150554494362.0,8827781035.0,,,176263783767.0,96110712.0,220577164575.0,6166884898.0,143786476141.0,520047.0,,
5110,burrata,gcc,0,9,hyper,121,q9 hyper,798.553,510017.39,281187.0,152.0,1377876.0,1456484692905.0,302748648735.0,,1472169772.0,110828613898.0,8016263980.0,,,115180972575.0,86008233.0,183033056223.0,5749353990.0,97140439627.0,587508.0,,
5111,burrata,gcc,0,9,vectorwise,121,q9 vectorwise,719.853,461208.35,190759.0,728.0,1431719.0,1312594984024.0,416706504234.0,,2270807642.0,118725530384.0,8841887927.0,,,162177630901.0,81636139.0,175175476755.0,6226460142.0,154742820697.0,489479.0,,
5112,burrata,clang,1,9,hyper,121,q9 hyper,1415.523,957018.68,230441.0,117.0,1371782.0,2785774306683.0,1516273495799.0,,1407541114.0,410338067331.0,8106949289.0,,,412242344013.0,115223554.0,445517394068.0,5756435072.0,253869074147.0,549090.0,,
5113,burrata,clang,1,9,vectorwise,121,q9 vectorwise,787.122,474565.42,279438.0,745.0,1432476.0,1353409140889.0,586257364966.0,,1911906423.0,163569920864.0,8835900296.0,,,198313457434.0,94767739.0,231204933410.0,6156076753.0,163381753695.0,520925.0,,
5114,burrata,gcc,1,9,hyper,121,q9 hyper,813.689,512789.91,220650.0,122.0,1371493.0,1464412780773.0,307444073069.0,,1484646500.0,111193023239.0,8032667635.0,,,114805979518.0,86526568.0,181182415883.0,5711036723.0,99911290148.0,603704.0,,
5115,burrata,gcc,1,9,vectorwise,121,q9 vectorwise,715.637,465963.24,494471.0,738.0,1431871.0,1329388899845.0,489081801648.0,,2267966118.0,131249847321.0,8820307637.0,,,187064813734.0,85587278.0,186159091261.0,6209705849.0,177329033403.0,461397.0,,
