machine,compiler,repetition,query,engine,threads,query_label,time,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
burrata,clang,0,18,hyper,96,q18 hyper,1246.343,582850.25,288794.0,286.0,2357363.0,1625554964517.0,1486451962058.0,,1252225570.0,458257668209.0,5177764116.0,,,417911868259.0,133700748.0,732543406469.0,1357848234.0,270431340820.0,649557.0,,
burrata,clang,0,18,vectorwise,96,q18 vectorwise,886.276,416809.28,379611.0,607.0,1639890.0,1166820851047.0,973434437622.0,,3477332946.0,373157119733.0,10190472310.0,,,322008421376.0,88152323.0,444614202877.0,2141730908.0,254468917171.0,427705.0,,
burrata,gcc,0,18,hyper,96,q18 hyper,928.065,390372.97,392058.0,580.0,2322213.0,1039946777221.0,477710154467.0,,1264124592.0,188423685625.0,5102168753.0,,,157975115104.0,127683953.0,238048663464.0,1355822556.0,116788197958.0,702567.0,,
burrata,gcc,0,18,vectorwise,96,q18 vectorwise,868.26,410302.16,425635.0,604.0,1647665.0,1142798464796.0,1003045908065.0,,3356377841.0,338962916759.0,10077015054.0,,,347170959229.0,85465615.0,403809959585.0,2141564870.0,306450913442.0,404319.0,,
burrata,clang,0,18,hyper,104,,,616088.34,483869.0,309.0,2459955.0,1705241356516.0,1503962587142.0,,1258326483.0,462339209323.0,5231536058.0,,,421534492528.0,156302356.0,751453282944.0,1382592715.0,273624194325.0,740499.0,,
burrata,clang,0,18,vectorwise,104,q18 vectorwise,885.57,456032.64,315818.0,656.0,1737202.0,1266865922574.0,1109918773727.0,,3441626935.0,397851993176.0,10192608830.0,,,358888400543.0,101810440.0,474211805256.0,2143684180.0,270765671842.0,510652.0,,
burrata,gcc,0,18,hyper,104,q18 hyper,968.151,429261.76,329991.0,266.0,2428129.0,1144353402606.0,472052920204.0,,1253245458.0,184507928325.0,5107549087.0,,,149843379351.0,143521882.0,240770183436.0,1378088806.0,117118638091.0,727564.0,,
burrata,gcc,0,18,vectorwise,104,q18 vectorwise,876.684,441351.88,305515.0,630.0,1759307.0,1226191914797.0,1015007208494.0,,3300341587.0,338421841340.0,10009181135.0,,,350634848690.0,94386681.0,409910413663.0,2135154335.0,312332632015.0,461374.0,,
burrata,clang,0,18,vectorwise,112,q18 vectorwise,939.346,485752.68,457896.0,702.0,1813321.0,1335647688947.0,1024620429840.0,,3460755541.0,386445027173.0,10276369527.0,,,338071314681.0,113136931.0,468332318040.0,2154338409.0,266712707470.0,531340.0,,
burrata,clang,0,18,hyper,112,q18 hyper,1252.57,651350.65,453157.0,395.0,2480729.0,1786201805069.0,1530930674146.0,,1264925499.0,466201991560.0,5230780802.0,,,430947339150.0,164419295.0,772453608630.0,1411968084.0,281961092607.0,788886.0,,
burrata,gcc,0,18,vectorwise,112,q18 vectorwise,908.572,489260.8,397146.0,714.0,1819915.0,1348657436930.0,1132645778125.0,,3269169257.0,358077959825.0,10001569290.0,,,391682454147.0,106711782.0,436431977188.0,2176931635.0,349521343512.0,458849.0,,
burrata,gcc,0,18,hyper,112,q18 hyper,991.923,469038.32,367960.0,409.0,2615725.0,1238603213649.0,503398943571.0,,1275084473.0,191242180394.0,5164037711.0,,,160314853385.0,154708804.0,248289063647.0,1402484371.0,124321407648.0,801369.0,,
burrata,clang,0,18,hyper,120,q18 hyper,1265.722,691202.35,619951.0,555.0,2690117.0,1886953670370.0,1551114785866.0,,1277777499.0,472266158229.0,5313078179.0,,,440203002424.0,186283277.0,796210633625.0,1418562640.0,285154247294.0,871805.0,,
burrata,clang,0,18,vectorwise,120,q18 vectorwise,979.885,566984.43,582885.0,763.0,1915993.0,1570279722086.0,1494213727043.0,,3518179882.0,455626508431.0,10353421662.0,,,465881146055.0,124374794.0,549046227318.0,2174041425.0,378901904112.0,580793.0,,
burrata,gcc,0,18,hyper,120,q18 hyper,1022.719,514999.85,581359.0,499.0,2734878.0,1361010821412.0,509479136683.0,,1293640748.0,195547473004.0,5223354551.0,,,167022675524.0,168471314.0,258292346537.0,1418412304.0,127265581117.0,891549.0,,
burrata,gcc,0,18,vectorwise,120,q18 vectorwise,959.4,519478.36,360993.0,744.0,1895755.0,1417878496165.0,1070232527119.0,,3279577311.0,345191559098.0,9977158628.0,,,363332315130.0,117147551.0,429323974979.0,2173469029.0,328797010596.0,513755.0,,
burrata,gcc,0,18,vectorwise,128,q18 vectorwise,990.289,592509.83,398137.0,800.0,2033536.0,1609370674264.0,1186927036255.0,,3091603020.0,368934461566.0,10410581555.0,,,406426235616.0,137140959.0,469604676467.0,2229731155.0,361492306385.0,579599.0,,
burrata,gcc,0,18,hyper,128,q18 hyper,959.697,509080.06,464310.0,664.0,1900626.0,1340093790368.0,506146184463.0,,1287904259.0,192275911802.0,5510214974.0,,,161194744323.0,167166124.0,263098579122.0,1268298753.0,124720549787.0,630376.0,,
burrata,clang,0,18,vectorwise,128,q18 vectorwise,1013.175,601532.18,605681.0,802.0,2002054.0,1635766253118.0,1237641257063.0,,3302214957.0,420312960583.0,10545074767.0,,,389137464340.0,141872060.0,527981365669.0,2246946805.0,295244525211.0,682844.0,,
burrata,clang,0,18,hyper,128,q18 hyper,1185.259,688694.81,606751.0,733.0,1986618.0,1872598444796.0,1532663971738.0,,1267979204.0,466903421448.0,5617770722.0,,,430264443781.0,187677075.0,800362594008.0,1262329397.0,281802635558.0,620936.0,,
