machine,compiler,repetition,query,engine,threads,query_label,time_seconds,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
dubliner,gcc,0,1,hyper,16,q1 hyper,407.233,41603.07,1161.0,19.0,350532.0,114058178839.0,258057489881.0,29129705726.0,56079363.0,132463700483.0,2395364064.0,34989379.0,27600004.0,,12656599.0,134152368178.0,15676029.0,32974.0,82902.0,,
dubliner,gcc,0,1,vectorwise,16,q1 vectorwise,1056.36,104334.62,1712.0,93.0,359631.0,259482741204.0,371829210180.0,44320752203.0,92731001.0,140181535991.0,7690372865.0,52342399.0,36769069.0,,29672170.0,141344794106.0,8228871.0,245932.0,1665905.0,,
dubliner,gcc,0,1,vectorwise,17,q1 vectorwise,1038.123,106855.52,1621.0,93.0,357626.0,265959287364.0,370858755069.0,44290353879.0,91654006.0,139891461320.0,7679838904.0,67564653.0,62511181.0,,29679454.0,141397570680.0,8592935.0,211337.0,790188.0,,
dubliner,gcc,0,1,hyper,17,q1 hyper,415.122,42735.03,1082.0,31.0,350497.0,117841090088.0,261882822265.0,29535891161.0,56742238.0,133307448242.0,2413213809.0,56638662.0,46681953.0,,11675783.0,133277428118.0,15743558.0,76182.0,125157.0,,
dubliner,gcc,0,1,vectorwise,19,q1 vectorwise,904.215,106125.71,1787.0,114.0,358284.0,263969846379.0,369960887408.0,44142376226.0,93161182.0,139899170961.0,7726295270.0,52745897.0,39559139.0,,30584910.0,140670572034.0,8386997.0,277822.0,1052763.0,,
dubliner,gcc,0,1,hyper,19,q1 hyper,348.4,42290.14,1207.0,32.0,351239.0,117444768129.0,262019122198.0,29530500533.0,56404608.0,133763097531.0,2406594764.0,37671861.0,28253181.0,,11596426.0,132201534574.0,15497300.0,125906.0,100203.0,,
dubliner,gcc,0,1,hyper,20,q1 hyper,435.306,43699.84,1274.0,35.0,351129.0,120821290071.0,262169083232.0,29596593642.0,56228319.0,133633970561.0,2408017025.0,40887556.0,30620371.0,,13135333.0,137118390781.0,15944962.0,120081.0,205418.0,,
dubliner,gcc,0,1,vectorwise,20,q1 vectorwise,895.86,107970.38,1851.0,113.0,357120.0,268015795853.0,371419805118.0,44396810803.0,93444098.0,139730831015.0,7674508265.0,65830101.0,49843549.0,,31383311.0,140984236198.0,9884779.0,266818.0,722719.0,,
dubliner,gcc,0,1,hyper,22,q1 hyper,395.179,44414.18,1743.0,49.0,350731.0,117498063554.0,266115323101.0,30469441380.0,59212773.0,134994121849.0,2437135429.0,66973557.0,52135021.0,,12463235.0,133924603182.0,14936527.0,83685.0,324601.0,,
dubliner,gcc,0,1,vectorwise,22,q1 vectorwise,1114.311,146963.32,36407.0,140.0,395063.0,292262717608.0,364982474990.0,44643232597.0,111907921.0,136140138346.0,7521914382.0,138161832.0,102413417.0,,123051033.0,139142085738.0,12208611.0,3000121.0,3522104.0,,
dubliner,gcc,0,1,hyper,23,q1 hyper,326.681,45709.85,1537.0,35.0,350892.0,126457752609.0,263000951925.0,29841435457.0,57171133.0,134416959894.0,2395671871.0,43253726.0,33937048.0,,13533995.0,133644787909.0,15789272.0,88695.0,420324.0,,
dubliner,gcc,0,1,vectorwise,23,q1 vectorwise,822.175,109884.95,2349.0,135.0,359463.0,274426934980.0,372338067615.0,44678465576.0,98683899.0,140543890695.0,7739709834.0,77262249.0,57245510.0,,33475723.0,141378608733.0,10071192.0,249922.0,864677.0,,
dubliner,gcc,0,1,hyper,24,q1 hyper,295.564,44648.41,1701.0,39.0,350977.0,122989581221.0,262357589424.0,29615057594.0,56474541.0,133771745024.0,2386752574.0,37461804.0,28841049.0,,13936892.0,134906402563.0,15949313.0,41982.0,404920.0,,
dubliner,gcc,0,1,vectorwise,24,q1 vectorwise,834.516,110423.67,2585.0,148.0,361282.0,274080871424.0,373317196670.0,44841987969.0,96016950.0,140885272185.0,7815201722.0,64244597.0,48461428.0,,30735600.0,140115578010.0,8928848.0,250260.0,989543.0,,
dubliner,gcc,0,1,vectorwise,25,q1 vectorwise,801.263,112680.48,2450.0,144.0,358527.0,282273403226.0,374973745164.0,45123229983.0,100098158.0,141205600077.0,7783258889.0,102537202.0,80690846.0,,34669089.0,141205679421.0,9202985.0,324923.0,866148.0,,
dubliner,gcc,0,1,hyper,25,q1 hyper,304.964,45860.36,1584.0,36.0,351114.0,125001748124.0,262259711991.0,29922711637.0,57027172.0,133576897309.0,2402319264.0,46943590.0,36871406.0,,12189973.0,133663142283.0,16039302.0,79372.0,559895.0,,
dubliner,gcc,0,1,hyper,27,q1 hyper,282.486,46359.89,1880.0,38.0,351223.0,127791037228.0,261576994566.0,29545217918.0,56712733.0,132660478414.0,2373908103.0,40492790.0,30529006.0,,14607046.0,135951430717.0,15630064.0,125579.0,205233.0,,
dubliner,gcc,0,1,vectorwise,27,q1 vectorwise,686.14,108185.49,2543.0,166.0,360537.0,269030091547.0,373640990271.0,44621293385.0,95679682.0,140494032432.0,7768987662.0,58784422.0,41272186.0,,32517205.0,139364738259.0,9079628.0,282273.0,937407.0,,
dubliner,gcc,0,1,vectorwise,28,q1 vectorwise,649.658,108858.65,2578.0,168.0,359975.0,270554158069.0,372346333677.0,44572034445.0,98915498.0,139419376809.0,7651306880.0,64856818.0,44447613.0,,35338704.0,140569534869.0,10180064.0,407776.0,995568.0,,
dubliner,gcc,0,1,hyper,28,q1 hyper,284.499,47421.68,1917.0,31.0,351439.0,130790866227.0,263729692418.0,29832174273.0,58046234.0,133921082394.0,2384962597.0,42865596.0,32356477.0,,14648278.0,133588441988.0,16135743.0,104778.0,246522.0,,
dubliner,gcc,0,1,hyper,30,q1 hyper,282.008,49382.81,2022.0,28.0,351404.0,134795983584.0,262830588534.0,29713451716.0,57322272.0,134220561607.0,2391082629.0,41538404.0,31056483.0,,13473816.0,134868349925.0,16029246.0,117185.0,329693.0,,
dubliner,gcc,0,1,vectorwise,30,q1 vectorwise,607.816,109290.68,2966.0,198.0,362605.0,272145862688.0,370304020018.0,44410139875.0,95701462.0,139510498271.0,7679490991.0,59925715.0,41792237.0,,33631136.0,140319786500.0,9221273.0,334491.0,1010858.0,,
dubliner,gcc,0,1,hyper,31,q1 hyper,351.589,51515.42,2161.0,65.0,351921.0,135016254960.0,268771072006.0,31129680172.0,60220985.0,136134903187.0,2418146660.0,60179976.0,47095601.0,,16307784.0,136444667803.0,16260183.0,148641.0,1533015.0,,
